Ciudad,País,mentions,avg strength,weight,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Small Worldness,Coeficiente de Asortatividad de Grado
CABA,Argentina,4.161290322580645,3.1610600322580646,2.6580645161290315,5.419354838709677,12.838709677419354,18.258064516129032,17.225806451612904,41.70967741935484,58.935483870967744,4.129032258064516,0.09374035483870971,4.0,2.0,2.0408602150537636,0.2753623188405797,0.5492831541218621,1.024949862333866,-0.3650420187643047
CDMX,México,,3.1412927350555555,1.8833333333333333,3.9722222222222223,12.38888888888889,16.36111111111111,13.805555555555555,43.888888888888886,57.69444444444444,4.972222222222222,0.0479725,inf,inf,inf,0.13872832369942195,0.26542328042327995,inf,0.09923429851616565
Santiago de Chile,Chile,4.16,3.1635789599999997,2.968,5.4,12.4,17.8,20.24,43.08,63.32,4.4,0.10612156000000002,inf,inf,inf,0.2741514360313316,0.5383333333333337,inf,-0.3675601398203708
Montevideo,Uruguay,8.5,3.1900337708333333,5.854166666666668,9.583333333333334,13.520833333333334,23.104166666666668,32.125,46.1875,78.3125,3.875,0.21520127083333337,4.0,2.0,1.8927304964539007,0.36394849785407724,0.5900561465721034,1.0158667383519078,-0.2623385480879436
Madrid,España,2.945945945945946,3.2093468108108105,1.9135135135135135,5.378378378378378,8.54054054054054,13.91891891891892,17.054054054054053,30.45945945945946,47.513513513513516,5.4324324324324325,0.07778994594594595,inf,inf,inf,0.1969111969111969,0.3465215215215193,inf,-0.11673160364827867
Sao Paulo,Brasil,2.1724137931034484,3.1712643793103448,1.4344827586206894,3.1724137931034484,9.793103448275861,12.96551724137931,11.0,34.6551724137931,45.6551724137931,5.9655172413793105,0.07785234482758623,inf,inf,inf,0.2571428571428571,0.12222222222222227,inf,-0.07374631268436647
