Ciudad,País,Menciones,avg strength,weight,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricidad,Clustering,Modularidad con pesos (0.8),Modularidad con pesos (1.0),Modularidad con pesos (1.2),Modularidad sin pesos (0.8),Modularidad sin pesos (1.0),Modularidad sin pesos (1.2),Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Small Worldness
CABA,Argentina,2.2850877192982457,3.2446327499999996,1.4815789473684209,2.192982456140351,2.192982456140351,4.385964912280702,7.008771929824562,7.008771929824562,14.017543859649123,4.798245614035087,0.14879081140350878,0.402,0.524,0.654,0.497,0.493,0.499,6,3,3.355668907952701,0.10739164086687307,0.32577285725335,0.9694501053389378
CDMX,México,,3.477387690344482,1.3886287625418052,1.8294314381270902,1.8294314381270902,3.6588628762541804,6.481605351170568,6.481605351170568,12.963210702341136,5.622073578595318,0.0759400702341137,0.484,0.628,0.776,0.602,0.604,0.601,7,4,3.82031828690714,0.05,0.28932026537809863,0.7612404769811351
Santiago de Chile,Chile,2.0974358974358975,3.4172109794871792,1.4625641025641019,1.9743589743589745,1.9743589743589745,3.948717948717949,6.8820512820512825,6.8820512820512825,13.764102564102565,5.041025641025641,0.1340367487179487,0.53,0.53,0.524,0.496,0.5,0.505,6,3,3.227544277028813,0.10074358359318782,0.3388888888889442,1.0960692540180004
Montevideo,Uruguay,4.065656565656566,3.227742045454545,2.749494949494955,3.8737373737373737,3.8737373737373737,7.747474747474747,12.969696969696969,12.969696969696969,25.939393939393938,4.47979797979798,0.20774660606060608,0.472,0.611,0.756,0.353,0.348,0.337,6,3,3.0811157257857764,0.22452327250358828,0.3608367943394337,1.2394081993394832
Madrid,España,1.9581589958158996,3.5183867489539753,1.36234309623431,1.895397489539749,1.895397489539749,3.790794979079498,6.430962343096234,6.430962343096234,12.861924686192468,6.079497907949791,0.12050969874476991,0.611,0.61,0.612,0.568,0.572,0.563,8,5,3.7835167539819277,0.08191653786707882,0.29465342622415475,1.0904702015735783
Sao Paulo,Brasil,1.8009259259259258,3.430668759259259,1.253703703703704,1.6851851851851851,1.6851851851851851,3.3703703703703702,5.847222222222222,5.847222222222222,11.694444444444445,6.726851851851852,0.12992756018518517,0.686,0.682,0.673,0.673,0.664,0.661,8,4,4.324031007751938,0.07857142857142857,0.266719012755837,1.1480273811448802
