Ciudad,País,timeset,d1,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Small Worldness
CABA,Argentina,,2.279646008849557,3.088495575221239,3.088495575221239,6.176991150442478,3.088495575221239,3.088495575221239,6.176991150442478,3.8849557522123894,,5,3,2.6956384323640963,0.15344207907105337,0.412623788453426,1.0548026221861706
CDMX,México,,2.307936499999999,2.611111111111111,2.611111111111111,5.222222222222222,2.611111111111111,2.611111111111111,5.222222222222222,3.619047619047619,0.11059191269841266,6,3,3.020952380952381,0.10093896713615023,0.3718920634920406,1.1037437224840156
Santiago de Chile,Chile,,2.4047618809523805,2.9285714285714284,2.9285714285714284,5.857142857142857,,,,3.8095238095238093,0.22083729761904763,5,3,2.591508892713712,0.17789072426937738,0.43328074201569505,1.159744668290163
Montevideo,Uruguay,,4.348214276785714,5.232142857142857,5.232142857142857,10.464285714285714,,,,4.267857142857143,0.23740924999999988,5,3,2.454954954954955,0.26031142279805064,0.4584513084512756,1.1669533912735912
Madrid,España,,2.118095238095237,2.7333333333333334,2.7333333333333334,5.466666666666667,2.7333333333333334,2.7333333333333334,5.466666666666667,5.0476190476190474,0.1876655428571429,5,3,2.9153846153846152,0.1368330464716007,0.3884615384615587,1.1447727901459102
Sao Paulo,Brasil,,1.973626373626372,2.3626373626373627,2.3626373626373627,4.725274725274725,,,,3.8241758241758244,0.24411632967032973,6,4,3.195848595848596,0.14213926776740848,0.36233618233618886,1.2712804204114532
